gene_id	module_no	colors
ENSG00000120727	22	darkgreen
ENSG00000120729	4	yellow
ENSG00000120733	7	black
ENSG00000120738	1	turquoise
ENSG00000120742	2	blue
ENSG00000120756	2	blue
ENSG00000120784	23	darkturquoise
ENSG00000120798	10	purple
ENSG00000120800	1	turquoise
ENSG00000120802	1	turquoise
ENSG00000120805	2	blue
ENSG00000120820	8	pink
ENSG00000120832	15	midnightblue
ENSG00000120833	2	blue
ENSG00000120837	8	pink
ENSG00000120860	3	brown
ENSG00000120868	7	black
ENSG00000120875	1	turquoise
ENSG00000120885	6	red
ENSG00000120889	1	turquoise
ENSG00000120896	19	lightyellow
ENSG00000120899	4	yellow
ENSG00000120910	2	blue
ENSG00000120913	4	yellow
ENSG00000120915	2	blue
ENSG00000120925	13	salmon
ENSG00000120942	8	pink
ENSG00000120948	2	blue
ENSG00000120963	3	brown
ENSG00000120992	3	brown
ENSG00000121005	1	turquoise
ENSG00000121022	3	brown
ENSG00000121039	12	tan
ENSG00000121057	7	black
ENSG00000121058	8	pink
ENSG00000121060	6	red
ENSG00000121064	2	blue
ENSG00000121067	2	blue
ENSG00000121068	9	magenta
ENSG00000121073	3	brown
ENSG00000121089	21	darkred
ENSG00000121104	10	purple
ENSG00000121152	1	turquoise
ENSG00000121210	6	red
ENSG00000121211	31	paleturquoise
ENSG00000121236	24	darkgrey
ENSG00000121274	17	grey60
ENSG00000121281	9	magenta
ENSG00000121289	1	turquoise
ENSG00000121297	1	turquoise
ENSG00000121310	4	yellow
ENSG00000121316	3	brown
ENSG00000121350	2	blue
ENSG00000121361	1	turquoise
ENSG00000121380	2	blue
ENSG00000121390	4	yellow
ENSG00000121406	1	turquoise
ENSG00000121410	2	blue
ENSG00000121413	1	turquoise
ENSG00000121417	2	blue
ENSG00000121440	10	purple
ENSG00000121454	4	yellow
ENSG00000121481	3	brown
ENSG00000121486	24	darkgrey
ENSG00000121542	3	brown
ENSG00000121552	5	green
ENSG00000121577	33	darkolivegreen
ENSG00000121578	2	blue
ENSG00000121579	1	turquoise
ENSG00000121594	9	magenta
ENSG00000121621	1	turquoise
ENSG00000121644	3	brown
